Id,Name,Alt_Name,Family,Birth_Date,Death_Date,Earliest_Citation_Date,Latest_Citation_Date,Office Association,Office_Titles,Family_Relation_Type_Note,Family_Relation_Type,Family_Relation_Name,Office_Start_1,Office_End_1,Office_Start_2,Office_End_2,Regions_1,Regions_2,Note,Source (Secondary),Source (Primary)
631,Lorenzo Bosello,,Bosello,,1596,1568,1596,Venetian Company of Couriers,Courier,"Appointed 1568 Sept 28 ""in loco de Agostin suo padre"";  replaced by son Agostin Bosello II",Parent,Agostin Bosello II,1568,1596,,,Veneto,Venice,"Appointed 1568 Sept 28 ""in loco de Agostin suo padre"";  replaced by son Agostin Bosello II",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
632,Andrea Garibaldi,,Garibaldi,,,1577,1596,Venetian Company of Couriers,Courier,,,,1577,1596,,,Veneto,Venice,Appointed 1577 Dec 15 due to deaths of heirs of Julian de Tassis; Replaced by Nicolo Bosello,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
633,Alessandro Beccaria,,Beccaria,,,1591,1596,Papal Post,Postmaster,,,,1591,1596,,,Lazio,Rome,,,
634,Horazio de Como,Domo?,Como,,,1594,1596,Spanish Post of Milan (Cremona),Postmaster,,,,,,,,Lombardy,Cremona,Might be same individual as Genesio de Domo,"Dallmeier, Martin Volker Albus, ed. Quellen zur Geschichte des Europaischen Postwesens, 1501–1806. 2 vols. Kallmünz, Germany: Lassleben, 1977.",
635,Agostino Bosello II,,Bosello,,,1596,1596,Venetian Company of Couriers,Courier,"Appointed 1596 May 13 ""per testamento de Lorenzo suo padre""",Child,Lorenzo Bosello,1596,,,,Veneto,Venice,"Appointed 1596 May 13 ""per testamento de Lorenzo suo padre""",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
636,Bernardo de Franchi,,Franchi,,,1596,1596,Genovese Post in Rome,Postmaster,,,,,,,,Lazio,Rome,,,
637,Giulio Gualtieri,Giulio Gualterio,Gualtieri,,,1596,1596,Papal Post,Postmaster,,,,1596,,,,Lazio,Rome,,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 10"
638,Magdalena Dratzin von Maudach,,Maudach,,,1596,1596,Imperial Post of Tyrol,Postmistress?,,,,,,,,Tyrol,,,"Dallmeier, Martin Volker Albus, ed. Quellen zur Geschichte des Europaischen Postwesens, 1501–1806. 2 vols. Kallmünz, Germany: Lassleben, 1977.",
639,Magdalena Wolffin,,Wolffin,,,1596,1596,Imperial Post of Tyrol (Bobenheim),Postmistress,,,,,,,,Tyrol,,,"Dallmeier, Martin Volker Albus, ed. Quellen zur Geschichte des Europaischen Postwesens, 1501–1806. 2 vols. Kallmünz, Germany: Lassleben, 1977.",PA.814
640,Margreche Deylin,,Deylin,,,1596,1596,Imperial Post of Tyrol (Welstein),Postmistress,,,,,,,,Tyrol,,,"Dallmeier, Martin Volker Albus, ed. Quellen zur Geschichte des Europaischen Postwesens, 1501–1806. 2 vols. Kallmünz, Germany: Lassleben, 1977.",PA.814
641,Ottillia Bechtelshamerin,"Behtelsham, Bectelshamer",Bechtelshamerin,,,1596,1596,Imperial Post of Tyrol (Hangenwisheim),Postmistress,,,,,,,,Tyrol,,,"Dallmeier, Martin Volker Albus, ed. Quellen zur Geschichte des Europaischen Postwesens, 1501–1806. 2 vols. Kallmünz, Germany: Lassleben, 1977.",PA.814
642,Piero de Herbais,"Piero de Herbach, Pierre de Herbois",Herba,,,1596,1596,,,,,,,,,,,,,"Dallmeier, Martin Volker Albus, ed. Quellen zur Geschichte des Europaischen Postwesens, 1501–1806. 2 vols. Kallmünz, Germany: Lassleben, 1977.",
643,Wilhelm von Taxis,,Tassis,,1596,1596,1596,Imperial Post of Tyrol,,Son of Ludwig Tassis,Child,Ludwig Tassis,,1576,,,HRE;Austria,,"Son of Ludwig Tassis, found guilty of defraudation and relieved of office; “Sein Sohn Wilhelm, mit dem diese Linie 1591 in MAnnesstamm erlosch, wurde wegen Defraudationsverdacht beim Postbetrieb 1576 vom Tiroler Erzherzog aller seiner Amter enthobem” (29)","Kustatscher, Erika. Die Innsbrucker Linie der Thurn und Taxis: Die Post in Tirol und den Vorlanden (1490–1769). Innsbruck, Austria: Universitätsverlag Wagner, 2018.; Dallmeier, Martin Volker Albus, and Fürstliches Marstallmuseum (Regensburg). 500 Jahre Post Thurn und Taxis: Ausstellung Anläßlich der 500jährigen Wiederkehr der Anfänge der Post in Mitteleuropa 1490–1990: Fürstliches Marstallmuseum Regensburg, Emmeramsplatz, 5 12. Mai bis 29. Juli 1990. Neusäss, Germany: Kieser, 1990.",
644,Johann Reichardt,,Reichardt,,,1592,1597,Imperial Post of Tyrol (Fussen),Postmaster,,,,1592,1597,,,,,,"Kustatscher, Erika. Die Innsbrucker Linie der Thurn und Taxis: Die Post in Tirol und den Vorlanden (1490–1769). Innsbruck, Austria: Universitätsverlag Wagner, 2018.",
645,Aaron Windebank,,Windebank,,,1597,1597,English Post in Dover,Postmaster,,,,,,,,England,Dover,,,
646,Matthias Sulzer,Sulzer;Schulzer,Sulzer,,,1597,1597,Imperial Post of Frankfurt; Rheinhausen?,Postmaster,,,,1597,,,,Germany;HRE,Frankfurt,,,Kremer
647,Hans Fugger,Hans Fugger von der Lilie,Fugger,1531,1598,1531,1598,Fugger Firm,Head of Fugger Business,,,,1597,1598,,,Germany,Augsburg,,,
648,Matteo Seriacopi,Matteo di Girolamo; Matheo,Seriacopi,,1598,1593,1598,Tuscan Couriers,Postmaster General,,,,1590,1598,,,Tuscany,Florence,,"(sec. XVI–XVIII). Bergamo, Italy: Museo dei Tasso e della Storia Postale","Archivio di Stato di Firenze, Medicea, 353"
649,Battaglia Francesco,,Battaglia,,,1598,1598,Cavallari of Brescia,Cavallaro,,,,,,,,Veneto;Lombardy,Brescia,Assaulted in 1598,,
650,Pier Francisco Aciati,,Aciati,,,1598,1598,Papal Post,Courier,,,,,,,,Lazio;France,Rome,Relation to Florentine couriers?,"E. John B Allen, Post and Courier Service in the Diplomacy of Early Modern Europe. (The Hague: Nijhoff, 1973).",
651,WEigan Uffsteiner,,Uffsteiner,,,1598,1598,Imperial Post of Frankfurt,Postmaster,,,,1598,,,,Germany;HRE,Frankfurt,,,Kremer
652,Zillio de Betto,Zilio de Bortholomeo di Correze,Betto,,1599,1574,1599,Venetian Company of Couriers in Milan,Courier,"Appointed 1574 Dec 14 ""in loco de Isabetta et Arcanzola Bosis""; replaced by son Simono de Zilio de Borth.o on death",Parent,Simono de Zilio de Bortholo,1574,1598,,,Veneto;Lombardy,Venice;Milan,"Appointed 1574 Dec 14 ""in loco de Isabetta et Arcanzola Bosis""; replaced by son Simono de Zilio de Borth.o on death",,
653,Pietro Benzon II,Piero Benzon,Benzon,,1599,1585,1599,Venetian Company of Couriers,Courier,,,,1585,1599,,,Veneto;Lazio,Rome;Venice,,,"Navagero, Bernardo. Bernardo Navagero: Dispacci al Senato dal 7 settembre 1555 al 6 novembre 1557. Edited by Daniele Bernardo Santarelli, November 11, 2011. http://www.storiadivenezia.net/sito/testi/Navagero2.pdf..10.5; Appointed 1585 Jun 3 ""in loco de Zuan Francesco Benzon suo nono"""
654,Battesta Sevarino,,Sevarino,,,1599,1599,Spanish Post of Milan (La Rosa),Postmaster,,,,,,,,Lombardy,Milan,,,"Archivo General de Simancas, Visitas, 400"
655,Battista Trescori,,Trescori,,,1599,1599,Cavallari of Brescia,Cavallaro,,,,,,,,Veneto;Lombardy,Brescia,Assaulted in 1599,,
656,Bernardo Trescori,,Trescori,,,1599,1599,Cavallari of Brescia,Cavallaro,,,,,,,,Veneto;Lombardy,Brescia,Assaulted in 1599,,
657,Campana,,Campana,,,1599,1599,Spanish Post of Milan (La Rosa),Postmaster,,,,,,,,Lombardy,Milan,,,"Archivo General de Simancas, Visitas, 400"
658,Giacomo Montessoro,,Montessoro,,,1599,1599,Spanish Post of Serravalle,,,,,,,,,Lombardy,Serravalle,,,ASMI.CR.351
659,Gier.o Cereno,,Cereno,,,1599,1599,Spanish Post of Milan (Como),Postmaster,,,,,,,,Lombardy,Como,,,"Archivo General de Simancas, Visitas, 400"
660,Giovanni Biasco,,Biasco,,,1599,1599,Spanish Post of Milan,,,,,,,,,Lombardy,Milan,,,"Archivo General de Simancas, Visitas, 400"
661,Piero Maria Pedraza,,Pedraza,,,1599,1599,Spanish Post of Milan (Pavia),Postmaster,,,,,,,,Lombardy,Pavia,,,"Archivo General de Simancas, Visitas, 400"
662,Pietro Vidali,Vitali?,Vidali,,,1599,1599,Couriers of Lyon,Postmaster,,,,,,,,France,Lyon,,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 10"
663,Ruggier Dadda,Adda;D'Adda;Dada,Dada,,,1599,1599,Spanish Post of Milan (Voghera),Postmaster,,,,,,,,Lombardy,Voghera,,,"Archivo General de Simancas, Visitas, 400"
664,Simone,,,,,1599,1599,Spanish Post of Milan (Alessandria),Postmaster,,,,,,,,Lombardy,Milan,,,"Archivo General de Simancas, Visitas, 400"
665,Zuanne Ponchin,,Ponchin,,,1599,1599,Venetian Company of Couriers,Courier,"Replaced by son, Zuanantonio",Parent,Zuanantonio Ponchin,,1599,,,Veneto,Venice,"Replaced by son, Zuanantonio",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
666,Simone Basso,,Basso,,,1584,1600,Venetian Company of Couriers,Courier,"Appointed 1584 Nov 27 in place of Iseppo Tagiagola ""crepato per strada a Roma""; replaced by son Lorenzo Basso",Parent,Lorenzo Basso,1584,1600,,,Veneto,Venice,"Appointed 1584 Nov 27 in place of Iseppo Tagiagola ""crepato per strada a Roma""; replaced by son Lorenzo Basso",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
667,Francesco Nibio,Nebio,Nibio,,,1599,1600,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,,,
668,ALonzo de Morales,,Morales,,,1600,1600,Spanish Post,Courier,,,,,,,,Spain,,,,
669,Gio Barera,,Berera,,,1600,1600,Spanish Post,Courier,,,,,,,,Spain,,,,
670,Giovanni Genovese,,Genovese,,,1600,1600,Spanish Post of Milan,Courier,,,,,,,,Lombardy,,,,
671,Julio Ramirez,,Ramirez,,,1600,1600,Spanish Post,Courier,,,,,,,,Spain,,,,
672,Luigi Piemontese,,Piemontese,,,1600,1600,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,,,
673,Oratio Fasolo,,Fasolo,,,1600,1600,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,,,
674,Annibale Lapini,,Lapini,,,1595,1601,Tuscan Couriers in Venice (Procacci),Leaseholder of Tuscan Procacci,,,,1595,1601,,,Tuscany,Florence,"""ottiene in appalto l'Ufficio e Tassa dei Procacci per Roma, Venezia, Ancona, e Pisa per sei anni, con fitto annuo di 2.000 scudi di moneta di lire sette per scudo"" (51)","Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.",
675,Ana de Mendoza y de la Cerda,Condessa de Tassis; Anne de Mendoca,Tassis,,,1601,1601,,,Wife of Juan de Tassis II,Spouse,Juan de Tassis II,,,,,Spain,Madrid,"Marries Juan de Tassis II in 1601, all children stillbirths (but Engelbert shows a daughter Anna who died in 1606, ""praemature decessit""); ""Niece des Ducs d' l'Intantado & du Medina-Celi""",,
676,Orazio Garbi,,Garbi,,,1601,1601,Cavallari of Brescia,Cavallaro,,,,,,,,Veneto;Lombardy,Brescia,Starts postal service to Crema,,
677,Bernardo Rivete,,Rivette;Paninforno,,1602,1591,1602,Venetian Company of Couriers,Courier,"Appointed 1591 Apr 6 ""alla prova per anni duo in loco de Zuanne suo padre,"" fully appointed 1595 Mar 25",Child,Zuanne Rivete,1591,,,,Veneto,Venice,"Appointed 1591 Apr 6 ""alla prova per anni duo in loco de Zuanne suo padre,"" fully appointed 1595 Mar 25",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
678,Giacomo Tirabosco,,Tirabosco,,,1591,1602,Venetian Company of Couriers,Courier,Appointed 1591 Oct 9 in place of Lorenzo (Bosello?); father of an Iseppo Tirabosco,Parent,Iseppo Tirabosco,1591,1602,,,Veneto,Venice,Appointed 1591 Oct 9 in place of Lorenzo (Bosello?); father of an Iseppo Tirabosco,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
679,Hercole Appiano,Ercole Appiano,Appiano,,,1594,1602,Spanish Post of Milan,Postmaster Lieutenant,,,,1596,1599,,,Lombardy,Milan,,,
680,Alessandro Bonati,,Bonati,,,1602,1602,Cavallari of Bergamo,Cavallaro,,,,1602,,,,Lombardy,Bergamo,,"Rea, Fernando. Le poste a Bergamo. Bergamo, Italy: Società Editrice Bergamasca, 1976.",
681,Gerolamo Matrimoni,,Matrimoni,,,1602,1602,Cavallari of Bergamo,Cavallaro,,,,1602,,,,Lombardy,Bergamo,,"Rea, Fernando. Le poste a Bergamo. Bergamo, Italy: Società Editrice Bergamasca, 1976.",
682,Marcantonio Comenduni,Comenduno; Comendunus,Comenduno,,,1602,1602,Cavallari of Bergamo,Cavallaro,,,,1602,,,,Lombardy,Bergamo,,"Rea, Fernando. Le poste a Bergamo. Bergamo, Italy: Società Editrice Bergamasca, 1976.",
683,Thomas Graye,,Graye,,,1602,1602,"English Post in London (Berwick, Dover, Plymouth, Portsmouth)",Postmaster,,,,,,,,England,London,,,
684,Filippo Baldassarre Tassis,,Tassis,1574,1603,1574,1603,,,"Child of Ruggero and Lucina Cattaneo, eldest son",,Ruggero Tassis,,,,,Lombardy,Milan,"Child of Ruggero and Lucina Cattaneo, eldest son, flees to country after 1592 murder of Scipione Barberi in a locanda brawl","Gerosa, Marco. La famiglia Tasso e le poste nello Stato di Milano in età spagnola (1556–1650).
Camerata Cornello; Bergamo: Corponove, 2019.","ASDMi, Registro dei battesimi della parrocchia di SAnto STefano in Brolo, vol. 1 (1564-1587)"
685,Benvenuto Pasini II,Benvenuto Pasini,Pasini,,,1581,1603,Venetian Company of Couriers,Courier;Gastaldo,,,,1591,1598,,,Veneto,Venice,,"Foppolo, Bonaventura. “La Mariegola della Compagnia dei Corrieri Veneti.” In Le poste dei Tasso, un’impresa in Europa: Contributi in occasione della mostra I Tasso, l’evoluzione delle poste . . . 28 aprile–3 giugno 1984. Edited by Tarcisio Bottani, 13–45. Bergamo, Italy: Comune di Bergamo, 1984.","Archivio di Stato di Venezia, CX, Criminali, Registri,23"
686,Orazio Marconi,,Marconi,,,1590,1603,Venetian Company of Couriers,Courier,"Apppointed 1590 Jan 18 in place of ""morte Iseppo suo padre ab intestato et per renoncia del fratello""; Stationed in Florence in 1600",Child,Iseppo Marconi,1590,1603,,,Veneto,Venice,"Apppointed 1590 Jan 18 in place of ""morte Iseppo suo padre ab intestato et per renoncia del fratello""; Stationed in Florence in 1600",,
687,Zuanantonio Ponchin,Giovanni Antonio,Ponchin,,,1599,1603,Venetian Company of Couriers,Courier,,,,1599,1603,,,Veneto,Venice,Appointed 1599 Jun 26 in place of Zuane for two years,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
688,Juan Pazza,,Pazza,,,1603,1603,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,,,"Archivo General de Simancas, Visitas, 268"
689,Prudenzia Albani,Prudencia Tassis; Prudence Albano,Tassis,,,1603,1603,,,"Second wife to Ruggero Tassis, mother of Ferdinando and Davide Tassis",Parent,Ferdinando Tassis;Davide Tassis,,,,,,,"Second wife to Ruggero Tassis, mother of Ferdinando and Davide Tassis",,
690,Giovanni Bolizza,,Bolizza,,1604,1578,1604,Venetian Post in Ragusa,Postmaster in Ragusa,,,,,,,,Balkans,Ragusa,,"Kittler, Juraj. “Venetian Control of Information Flows with Constantinople and the Soft Power of a Renaissance State.” The Historical Journal, 2024, 1–26. https://doi.org/10.1017/S0018246X2400058X.",
691,Michel Angelo Rotta,,Rotta,,,1589,1604,Venetian Company of Couriers,Courier,Appointed 1589 Sept 11 in loco di Cristoforo suo padre morto ab intestato essendosi armegato venendo da Roma nella Val Topina,Child,Cristoforo Rotta,1589,1604,,,Veneto,Venice,Appointed 1589 Sept 11 in loco di Cristoforo suo padre morto ab intestato essendosi armegato venendo da Roma nella Val Topina,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
692,Marco Antonio Judice,Ginoves,Iudice,,,1600,1604,Spanish Post of Naples,Postmaster (Claimant),,,,,,,,Sicily,Naples,"claimant, named in privilege from Philip II, never posseses office in fact","Green, Otis H. “Villamediana as Correo Mayor in the Kingdom of Naples.” Hispanic Review 15, no. 2 (1947): 302–6. https://doi.org/10.2307/470360",
693,Antonio Banfo,Antonio Banfi;Il Banfo,Banfi,,,1604,1604,Spanish Post of Milan (Marignano),Postmaster,,,,,,,,Lombardy,Marignano,Decision against in 1604,,"Archivo General de Simancas, Visitas, 268"
694,Hieronymus Buella,,Buella,,,1604,1604,Cavallari of Verona,Cavallaro (Candidate),,,,,,,,Veneto,Verona,,,"Archivio di Stato di Verona, Processi, Uffici pubblici, Cavallari e portalettere, 120.1273"
695,Scipione Vitale Tassis,,Tassis;Vitale,,1604,1604,1604,Spanish Post of Milan,Postmaster Lieutenant,,,,,,,,Lombardy,Milan,Replaces Giovan Antonio Vitale Tassis in helping with Milan post office,,
696,Elisabetta Tassis,Elisabeth von Taxis,Bordogna;Tassis,,,1509,1605,Imperial Post of Tyrol,,Wife of Bono Bordogna; Daughter of Ruggero Tassis of Venice,Spouse,Bono Bordogna,1509,,,,Veneto,Venice;Bergamo,Daughter of Ruggero Tassis of Venice,,"Fürst Thurn und Taxis Hofbibliothek und Zentralarchiv Haus- und Familiensachen, 117"
697,Antonio da Sol,,da Sol,,,1605,1605,Venetian Company of Couriers in Milan,Courier,,,,,,,,Veneto;Lombardy,Venice;Milan,Stationed in Milan 1605,,
698,Iuseppe Capra,,Capra,,,1605,1605,Savoyard Post,Postmaster General,,,,,1599?,,,Savoy,Turin,Noted as having served prior to 1605,,"Archivo General de Simancas, Estado, 1295"
699,Lavinia de Tassis,,Tassis,,,1605,1605,,,Daughter of Ruggero Tassis of Venice,Child,Ruggero Tassis of Venice,,,,,Veneto,Venice;Bergamo,Daughter of Ruggero Tassis of Venice,,"Fürst Thurn und Taxis Hofbibliothek und Zentralarchiv Haus- und Familiensachen, 117"
700,Mateo Pasini,Matio Pasini,Pasini,,,1605,1605,,,,,,,,,,Veneto;Lombardy,Milan,Possible competitor to Compagnia?,,
701,Michele San Martino,,San Martino,,,1605,1605,Spanish Post of Milan,Courier,,,,,,,,Lombardy,,,,
702,Isabella von Taxis,,Tassis,,,1568,1606,Imperial Post of Augsburg,Postmistress,"Daughter of Simone Tassis, sister to Ruggero Tassis, marries Seraphin II von Taxis (?), Postmaster of Augsburg; ""Lamoral hatte bei der Witwe Seraphins (II) ISabella von Taxis, Logis genomen und tat alles, um sich bei den Kommissaren beliebt zu machen"" (159)",Child,Simone Tassis,,,,,Germany;HRE,Augsburg,"Daughter of Simone Tassis, sister to Ruggero Tassis, marries Seraphin II von Taxis (?), Postmaster of Augsburg; ""Lamoral hatte bei der Witwe Seraphins (II) ISabella von Taxis, Logis genomen und tat alles, um sich bei den Kommissaren beliebt zu machen"" (159)","Behringer, Wolfgang. Thurn und Taxis: Die Geschichte ihrer Post und ihrer Unternehmen. Munich: Piper, 1990.",
703,Benetto Antonio Zupponi,Antonio Zupponi,Giuppone,,,1577,1606,Venetian Company of Couriers,Courier;Gastaldo,"Appointed 1577 May 10 in place of father, Piero. Gastaldo during decision in favor of route to Milan; could be two different individuals; Father of Pasqualin Zupponi?",Parent,Pasqualin Zupponi,1576,1606,,,Veneto,Venice,"Appointed 1577 May 10 in place of father, Piero. Gastaldo during decision in favor of route to Milan; could be two different individuals; Father of Pasqualin Zupponi?",,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
704,Francesco Bonsero,,Bonsero,,,1588,1606,Spanish Post of Milan (Cremona),Postmaster,,,,,,,,Lombardy,Cremona,,,"Archivo General de Simancas, Visitas, 400"
705,Gio Batta Mariano,,Mariano,,,1600,1606,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,One of highest paid/most active couriers,,Milan office records
706,Ludovicco Vechi,,Vechi,,,1603,1606,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,,,Milan office records
707,Rinaldo Maffei,,Maffeis,,,1603,1606,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,,,Milan office records
708,Ambrosio Mariano,,Mariano,,,1605,1606,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,One of highest paid/most active couriers,,Milan office records
709,Antonio Martino,,San Martino,,,1605,1606,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,,,Milan office records
710,Gerolamo Cipelleto,,Cipelleto,,,1605,1606,Spanish Post of Milan (Cremona),Postmaster,,,,,1605,,,Lombardy,Cremona,Legal battle with Tassis and Codogno re replacement with Giulio Caronzio,,ASMI.RG.S17.38
711,Gerolamo Landriano,,Landriano,,,1605,1606,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,Assaulted outside of Cremona October 1606; One of highest paid/most active couriers,,ASM.RG.S16.12
712,Giulio Caronzio,,Caronzio,,,1605,1606,Spanish Post of Milan (Cremona),Postmaster,,,,1606,,,,Lombardy,Cremona,Legal battle with Tassis and Codogno re predecessor Cipelleto,,ASMI.RG.S17.38
713,Bernardo Gondi,,Gondi,,,1606,1606,Tuscan Procacci,Co-Leaseholder,,,,1601,1602,,,Tuscany,Florence,,"Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.",
714,Orazio Bargelini,,Bargelini,,,1606,1606,Tuscan Procacci,Co-Leaseholder,,,,1601,1602,,,Tuscany,Florence,,"Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.",
715,Vincenzo Giugni,,Giugni,,,1606,1606,Tuscan Procacci,Co-Leaseholder,,,,1601,1602,,,Tuscany,Florence,"""con tassa annua di 7.000 scudi (oltre ad altri oneri), 'con l'avere una casa recipiente all'uso e spedizione dei procacci'"" (51)","Chieppi, Sergio. I servizi postali dei Medici dal 1500 al 1737. Arezzo, Italy: Servizio editoriale fiesolano, 1997.",
716,Vittorio de Tassis,Giovanni Battista Vittorio Tassis; Vittore Tassis,Tassis,1581,1606,1607,1606,Spanish Post of Milan,,Identified as son of Lucina Catanea de Tassis and Ruggero,Child,Lucina Catanea de Tassis,,,,,Lombardy,Milan,"Identified as son of Lucina Catanea de Tassis and Ruggero, murders  ""cavaliere gerosolimitano Gabriele Serbelloni"" in 1601 with brother Ottavio",,"Archivo General de Simancas, Visitas, 268; ASDMi, Registro dei battesimi della parrocchia di SAnto STefano in Brolo, vol. 1 (1564-1587)"
717,Juan de Tassis  I,Juan de Tassis y Acuna,Tassis,1530,1607,1530,1607,Spanish Post in Spain,Corriero maggiore;Count of Villamediana,"Son of Raimondo, spent time in Portugal",Child,Raimondo Tassis,1579,,,,Spain;Lombardy;Portugal,Milan;Madrid;Valladolid,"Son of Raimondo, spent time in Portugal","Tarcisio Bottani, Gianfranco Lazzarini, et al., Genealogia Tasso (Bergamo, Italy: Santini Pubblicità, July 2007), https://www.museodeitasso.com/export /sites/default/documenti/albero-genealogico-casato-tasso.pdf.; Bertomeu. I Tasso e le poste; Mancheno. La familia tassis; Campa. Otras noticias; Green. Villamediana as Correo Mayor",
718,Francesco Monte,Francesco da Monte,Monte,1569,,1569,1607,Spanish Post of Milan; Savoyard Post?,Courier,,,,,,,,Lombardy,Milan,Nominated by Serra for the office of postmaster but rejected due to secret memorial,,"Archivo General de Simancas, Visitas, 399"
719,Iseppo de Rossi,Giuseppe de Rossi; Giuseppe de Rossis,Rossi,,,1599,1607,Spanish Post of Milan,Courier,,,,,1604,,,Lombardy,Milan,,,"Archivo General de Simancas, Visitas, 400"
720,Simon de Zilio de Borth.o,,Borth.o,,,1599,1607,Venetian Company of Couriers,Courier,Appointed 1599 Feb 17 per la morte de zilio suo padre ab intestato con renoncia delli altri tre suoi frattelli,Child,Zilio de Bortholeo,1599,1607,,,Veneto,Venice,Appointed 1599 Feb 17 per la morte de zilio suo padre ab intestato con renoncia delli altri tre suoi frattelli,,"Archivio di Stato di Venezia, Compagnia dei Corrieri, 25"
721,Cesare Appiano,Meschino,Appiano,1572,,1600,1607,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,Birthdate based on approximate date of testimony to visitador,,
722,Giuseppe Pezano,Giuseppino,Pezano,,,1601,1607,Spanish Post of Milan,,,,,,,,,Lombardy,Milan,Identified as Genovese,,"Archivo General de Simancas, Visitas, 268"
723,Giovanno Pocapaglia,Rocopaglia;Bocopaglia,Pocapaglia,1567,,1602,1607,Spanish Post of Milan,Courier,,,,1588,,,,Lombardy,Milan,Identified as Genovese,,"Archivo General de Simancas, Visitas, 399"
724,Luigi Suardo,Luis Suardo;Alisius Suardo,Suardo,,,1604,1607,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,,,SSP.LEG.1799;ASMI.N.2938
725,Antonio Bertura,Antonio Bertola,Bertura,,,1605,1607,Spanish Post of Milan,Courier,,,,,,,,Lombardy,Milan,Assaulted outside of Cremona in July 1607,,ASM.RG.S16.12
726,Alessandro Banfo,Alessandro Banfi,Banfi,,,1607,1607,Spanish Post of Milan (Marignano),Postmaster,Father of Giovan Antonio Banfi?,Parent,Giovan Antonio Banfi,,,,,Lombardy,Milan,Father of Giovan Antonio Banfi?,,"Archivo General de Simancas, Visitas, 405"
727,Alessandro Girando,Girardo?,Girando,,,1607,1607,Spanish Post of Milan (Voghera),Postmaster,,,,1593,,,,Lombardy,Voghera,,,"Archivo General de Simancas, Visitas, 399"
728,Aloyso Maranetto,Aloisio Marinetto;Luiggi Maranetto;Aloisio Piamontese,Piemontese,1560,,1607,1607,Spanish Post of Milan,Courier,,,,1586,,,,Lombardy,Milan,Identified as Piemontese,,"Archivo General de Simancas, Visitas, 399"
729,Antonio Maria Rossono,,Rozzoni,,,1607,1607,Spanish Post of Milan (Voghera),Postmaster,,,,,,,,Lombardy,Voghera,,,"Archivo General de Simancas, Visitas, 399"
730,Battiola Becarino,,Becarino,,,1607,1607,Spanish Post of Milan (La Rosa),Postmaster,,,,,,,,Lombardy,Milan,,,"Archivo General de Simancas, Visitas, 399"
731,Broniso Galarate,,Galarate,1571,,1607,1607,Spanish Post of Milan,Courier,,,,1593,,,,Lombardy,Milan,,,"Archivo General de Simancas, Visitas, 268"
732,Dionisio Galarate,1604,Galarate,,,1607,1607,Spanish Post of Milan,Courier,,,,1599,,,,Lombardy,Milan,,,"Archivo General de Simancas, Visitas, 268;Archivo General de Simancas, Visitas, 399"
733,Duke of Lerma,,Lerma,,,1607,1607,Spanish Court,Court Favorite,,,,,,,,Spain,Madrid,"Patron of Borromeo, harmed by arrests of 1607",,
734,Francesco Bellone,Francesco Belone,Bellone,,,1607,1607,Spanish Post of Milan,Courier,,,,1604,,,,Lombardy,Milan,Assaulted outside of Cremona January 1607,,"ASM.RG.S16.12;Archivo General de Simancas, Visitas, 268;Archivo General de Simancas, Visitas, 400"
735,Francesco Luino,Francesco Lucipio,Luino,,,1607,1607,,,,,,,,,,,,,,
736,Francesco Raffetto,,Raffetto,,,1607,1607,Spanish Post of Milan,,,,,,,,,Lombardy,Milan,Identified as Genovese,,"Archivo General de Simancas, Visitas, 268"
737,Gabriele dalla Pieve,,Pieve,,,1607,1607,Spanish Post of Milan (Pieve),Postmaster,,,,,,,,Lombardy,Pieve,,,"Archivo General de Simancas, Visitas, 399"
738,Gabrio Morello,,Morello,,,1607,1607,Post of Cremona,Courier,,,,,,,,Lombardy,Cremona,,,
